,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,,Flag
14,2017/5/15,良,58,183,20,58,5,23,0.52,94,,0
15,2017/5/16,良,87,342,40,88,8,28,0.59,126,,0
16,2017/5/17,轻度污染,118,358,58,111,8,34,0.68,151,,1
17,2017/5/18,轻度污染,144,356,79,143,9,50,0.82,169,,1
18,2017/5/19,轻度污染,145,351,83,152,8,39,0.79,153,,1
19,2017/5/20,轻度污染,115,331,54,124,8,37,0.7,131,,1
20,2017/5/20,轻度污染,115,331,54,124,8,37,0.7,131,,1
21,2017/5/21,良,93,284,56,98,14,26,0.94,123,,0
22,2017/5/22,良,62,241,42,60,7,33,1.15,40,,0
23,2017/5/23,优,48,157,17,37,3,28,0.36,96,,0
24,2017/5/24,良,54,176,16,51,2,41,0.38,77,,0
25,2017/5/25,良,70,232,20,82,5,37,0.53,90,,0
26,2017/5/26,良,90,289,43,94,8,48,0.58,110,,0
27,2017/5/27,轻度污染,110,312,65,116,19,45,1.29,154,,1
28,2017/5/28,轻度污染,150,359,87,137,15,34,1.36,167,,1
29,2017/5/29,良,74,146,28,88,7,24,0.66,92,,0
30,2017/5/30,良,69,169,39,68,2,36,0.64,91,,0
31,2017/5/31,轻度污染,117,331,65,105,3,43,0.75,115,,1
0,2017/6/1,良,69,213,22,56,3,27,0.6,113,,0
1,2017/6/2,良,59,175,22,65,11,36,0.94,53,,0
2,2017/6/3,良,60,194,28,55,4,34,0.69,75,,0
3,2017/6/4,良,95,354,45,89,9,47,0.63,111,,0
4,2017/6/5,轻度污染,108,361,63,113,15,59,0.91,119,,1
5,2017/6/6,良,55,247,35,46,2,23,0.5,81,,0
6,2017/6/7,良,78,302,45,53,2,29,0.6,85,,0
7,2017/6/8,良,54,144,23,53,2,51,0.55,63,,0
8,2017/6/9,良,89,289,28,88,4,50,0.59,103,,0
9,2017/6/10,良,65,263,20,70,10,31,0.77,83,,0
10,2017/6/11,良,79,298,31,83,6,46,0.64,88,,0
11,2017/6/12,良,71,283,33,78,15,43,1.08,92,,0
12,2017/6/13,良,68,255,39,62,4,41,0.81,98,,0
13,2017/6/14,良,83,276,36,59,2,45,0.72,106,,0
14,2017/6/15,轻度污染,104,295,37,89,3,44,0.59,150,,1
15,2017/6/16,轻度污染,115,301,57,124,5,39,0.62,155,,1
16,2017/6/17,轻度污染,134,341,79,155,10,36,0.87,177,,1
17,2017/6/18,轻度污染,130,349,71,128,10,30,0.84,166,,1
18,2017/6/19,良,91,317,35,58,2,25,0.57,146,,0
19,2017/6/20,良,96,327,31,64,3,24,0.61,157,,0
20,2017/6/21,轻度污染,101,332,49,83,7,28,0.86,151,,1
21,2017/6/22,良,58,225,31,27,1,23,0.77,94,,0
22,2017/6/23,优,46,132,18,11,2,18,0.66,85,,0
23,2017/6/24,优,40,115,19,26,2,19,0.5,77,,0
24,2017/6/25,良,63,233,25,44,2,30,0.5,84,,0
25,2017/6/26,良,69,224,22,45,1,34,0.44,104,,0
26,2017/6/27,轻度污染,135,356,69,106,5,39,0.79,150,,1
27,2017/6/28,轻度污染,138,359,94,124,7,40,1.17,154,,1
28,2017/6/29,轻度污染,108,332,59,86,5,30,0.82,152,,1
29,2017/6/30,轻度污染,127,359,71,111,2,36,0.84,159,,1
0,2017/7/1,轻度污染,137,362,89,132,3,40,0.97,154,,1
1,2017/7/2,中度污染,157,362,93,122,6,31,1.08,157,,1
2,2017/7/3,良,88,308,59,77,2,28,0.81,103,,0
3,2017/7/4,良,73,270,48,55,2,37,0.8,88,,0
4,2017/7/5,轻度污染,117,363,82,92,2,36,1.02,116,,1
5,2017/7/6,良,96,356,69,49,3,31,1.37,71,,0
6,2017/7/7,良,65,274,31,38,2,18,0.73,113,,0
7,2017/7/8,良,80,313,36,57,1,28,0.63,129,,0
8,2017/7/9,轻度污染,125,361,73,98,2,28,1.02,152,,1
9,2017/7/10,良,80,301,24,52,2,30,0.5,124,,0
10,2017/7/11,轻度污染,118,344,43,88,3,40,0.78,171,,1
11,2017/7/12,轻度污染,136,363,73,131,3,38,0.92,165,,1
12,2017/7/13,轻度污染,101,343,65,93,3,24,0.74,131,,1
13,2017/7/14,良,71,284,32,62,2,34,0.64,112,,0
14,2017/7/15,良,71,302,34,45,2,26,0.89,111,,0
15,2017/7/16,轻度污染,110,365,63,84,2,34,1.11,123,,1
16,2017/7/17,良,84,339,53,71,2,28,1.01,105,,0
17,2017/7/18,良,87,344,62,80,2,26,0.89,91,,0
18,2017/7/19,轻度污染,101,351,73,83,2,24,0.75,101,,1
19,2017/7/20,轻度污染,127,361,96,113,2,29,0.78,104,,1
20,2017/7/21,优,43,121,22,24,2,24,0.67,60,,0
21,2017/7/22,优,37,60,21,35,2,29,0.61,46,,0
22,2017/7/23,良,60,199,41,58,2,35,0.69,52,,0
23,2017/7/24,良,60,206,40,57,2,38,0.76,26,,0
24,2017/7/25,良,58,184,31,48,3,31,0.81,71,,0
25,2017/7/26,优,41,60,21,33,2,29,0.68,62,,0
26,2017/7/27,良,58,177,38,64,2,44,0.93,49,,0
27,2017/7/28,良,54,156,26,57,2,41,0.71,62,,0
28,2017/7/29,良,63,234,31,59,2,37,0.66,79,,0
29,2017/7/30,良,83,306,36,66,2,33,0.65,104,,0
30,2017/7/31,轻度污染,128,356,75,100,2,34,0.92,143,,1
0,2017/8/1,良,98,346,67,86,2,29,0.96,92,,0
1,2017/8/2,良,51,234,33,50,3,24,1.04,47,,0
2,2017/8/3,优,47,168,19,37,2,17,0.6,85,,0
3,2017/8/4,良,68,254,20,43,2,34,0.54,92,,0
4,2017/8/5,良,75,281,25,57,2,33,0.62,108,,0
5,2017/8/6,良,53,167,16,33,2,27,0.47,87,,0
6,2017/8/7,优,50,144,9,32,2,29,0.4,90,,0
7,2017/8/8,良,96,353,27,67,2,37,0.64,121,,0
8,2017/8/9,良,59,246,21,34,2,23,0.54,103,,0
9,2017/8/10,良,90,327,62,83,2,31,0.75,106,,0
10,2017/8/11,轻度污染,123,358,89,98,2,36,1.14,88,,1
11,2017/8/12,优,46,161,29,36,2,34,0.73,68,,0
12,2017/8/13,良,60,277,39,50,2,34,0.87,49,,0
13,2017/8/14,良,52,222,26,40,2,25,0.74,83,,0
14,2017/8/15,良,77,317,52,73,3,30,0.91,94,,0
15,2017/8/16,良,87,340,56,71,2,36,0.86,62,,0
16,2017/8/17,优,48,176,21,34,2,26,0.67,73,,0
17,2017/8/18,良,76,333,51,72,2,50,1.14,60,,0
18,2017/8/19,良,64,299,41,50,2,31,1,75,,0
19,2017/8/20,良,84,349,59,71,2,35,1.19,77,,0
20,2017/8/21,轻度污染,103,359,68,92,2,36,1.04,108,,1
21,2017/8/22,轻度污染,104,361,77,94,2,33,0.93,67,,1
22,2017/8/23,优,48,177,10,28,2,25,0.51,81,,0
23,2017/8/24,优,41,146,13,36,2,35,0.52,40,,0
24,2017/8/25,优,38,102,8,34,2,35,0.41,38,,0
25,2017/8/26,优,50,229,13,53,2,46,0.52,29,,0
26,2017/8/27,优,35,81,16,27,2,27,0.52,55,,0
27,2017/8/28,优,36,123,18,17,2,25,0.49,39,,0
28,2017/8/29,优,43,207,14,45,3,34,0.47,41,,0
29,2017/8/30,良,74,356,50,85,3,42,0.79,70,,0
30,2017/8/31,轻度污染,106,359,79,97,2,33,0.88,65,,1
0,2017/9/1,中度污染,177,366,134,149,2,38,1.39,71,,1
1,2017/9/2,轻度污染,148,366,109,118,2,32,1.16,79,,1
2,2017/9/3,良,77,319,55,77,3,29,0.77,87,,0
3,2017/9/4,轻度污染,117,366,87,111,3,34,0.9,93,,1
4,2017/9/5,良,67,295,39,59,2,33,0.65,51,,0
5,2017/9/6,优,47,190,14,47,2,40,0.48,56,,0
6,2017/9/7,良,85,333,42,97,2,46,0.72,102,,0
7,2017/9/8,轻度污染,139,364,106,134,2,58,1.08,51,,1
8,2017/9/9,轻度污染,110,352,78,115,2,31,1.12,148,,1
9,2017/9/10,轻度污染,121,364,90,104,3,40,1.14,56,,1
10,2017/9/11,优,43,142,19,36,2,38,0.5,46,,0
11,2017/9/12,优,50,128,19,55,1,41,0.5,59,,0
12,2017/9/13,轻度污染,101,348,70,120,5,56,1.07,94,,1
13,2017/9/14,轻度污染,125,365,86,125,4,47,1.03,89,,1
14,2017/9/15,良,83,312,58,98,3,59,0.84,59,,0
15,2017/9/16,轻度污染,116,355,87,124,3,60,1.04,74,,1
16,2017/9/17,优,36,39,10,30,2,32,0.37,53,,0
17,2017/9/18,良,61,134,21,70,2,53,0.55,62,,0
18,2017/9/19,优,47,97,12,48,2,44,0.44,42,,0
19,2017/9/20,优,47,150,12,51,2,44,0.41,47,,0
20,2017/9/21,良,88,308,55,115,7,73,0.94,66,,0
21,2017/9/22,良,69,245,24,90,2,38,0.46,53,,0
22,2017/9/23,轻度污染,117,354,46,183,5,68,0.82,47,,1
